Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
C3,0603,1,100nF,
C4,0603,1,1nF,
"D1, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,8,D,
D2,0603,1,0603,
J1,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
J2,CONN-TH_DB301V-3.5-2P-GN,1,Vin,
J3,CONN-TH_DB301V-3.5-2P-GN,1,Common High,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Extra,
"J5, J6, J7, J8",CONN-TH_DB301V-3.5-2P-GN,4,Motor,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,AO3400A,
"R1, R2",0603,2,C107701,
"R10, R12, R13, R14, R15, R6, R8",0603,7,100,
"R11, R16, R17, R18, R19, R7, R9",0603,7,10k,
R20,0603,1,1M,
R3,0603,1,C98220,
R4,0603,1,C105588,
R5,0603,1,C22548,
TP1,TestPoint_Pad_1.0x1.0mm,1,TP23,
TP2,TestPoint_Pad_1.0x1.0mm,1,TP27,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATSAMD11D14A-M,
U2,SOT-666,1,USBLC6-2P6,
U3,SOT-23-5,1,MIC5504-3.3YM5,
USB1,USB-MINI-SMD_U-M-M5DD-W-1,1,U-M-M5DD-W-1,C145778
