Designator,Mid X,Mid Y,Rotation,Layer
C1,60.5,-53.0,180.0,top
C2,60.5,-54.55,180.0,top
C3,66.3,-51.2,270.0,top
C4,57.5,-53.3,180.0,top
D1,51.9,-62.2,90.0,top
D2,65.5,-44.4,0.0,top
D3,62.2,-62.2,90.0,top
D4,64.6,-62.2,90.0,top
D5,75.0,-62.2,90.0,top
D6,87.8,-61.8,90.0,top
D7,77.4,-62.2,90.0,top
D8,86.6,-47.8,180.0,top
D9,86.6,-58.3,180.0,top
J1,57.54,-40.75,90.0,top
J2,77.3,-40.8,180.0,top
J3,87.7,-42.45,90.0,top
J4,68.815,-40.75,90.0,top
J5,56.8,-63.4,0.0,top
J6,69.55,-63.4,0.0,top
J7,82.35,-63.4,0.0,top
J8,87.7,-53.25,90.0,top
Q1,54.95,-57.8625,90.0,top
Q2,58.35,-57.8625,90.0,top
Q3,68.05,-57.8625,90.0,top
Q4,71.5,-57.8625,90.0,top
Q5,82.0,-57.8625,90.0,top
Q6,78.5,-57.8625,90.0,top
Q7,82.2,-50.55,180.0,top
Q8,82.2,-53.95,180.0,top
R1,65.15,-47.4,180.0,top
R10,72.4,-51.6,270.0,top
R11,71.5,-54.9,180.0,top
R12,74.3,-47.8,0.0,top
R13,73.8,-49.3,0.0,top
R14,73.8,-45.3,0.0,top
R15,77.3,-46.6,0.0,top
R16,79.4,-54.375,90.0,top
R17,77.9,-54.4,90.0,top
R18,82.7,-48.1,0.0,top
R19,78.6,-52.1,180.0,top
R2,65.15,-48.9,0.0,top
R20,54.5,-53.3,180.0,top
R3,54.75,-55.2,180.0,top
R4,67.8,-51.6,270.0,top
R5,65.15,-45.9,0.0,top
R6,69.4,-51.8,270.0,top
R7,60.9,-57.4,270.0,top
R8,70.9,-51.6,270.0,top
R9,68.1,-54.9,0.0,top
U1,69.65,-47.4375,180.0,top
U2,62.5375,-46.9,90.0,top
U3,63.8,-51.7,90.0,top
USB1,57.5,-47.2,270.0,top
